sentido,kappa,semiamplitud_x
abajo,0.31,2.6635009627317654
abajo,0.309,2.64982319549161
abajo,0.308,2.6359354490835147
abajo,0.307,2.6218309449653745
abajo,0.306,2.6074315497216523
abajo,0.305,2.5929264964916117
abajo,0.304,2.5780607118118186
abajo,0.303,2.5630338950724187
abajo,0.302,2.547683738486987
abajo,0.301,2.5320446339510876
abajo,0.3,2.516103476148737
abajo,0.299,2.499841365526935
abajo,0.298,2.483241132422558
abajo,0.297,2.4662831956233866
abajo,0.296,2.448928960453012
abajo,0.295,2.4311882007349994
abajo,0.294,2.4130079446262362
abajo,0.293,2.394319881940988
abajo,0.292,2.375200002789805
abajo,0.291,2.355498745256929
abajo,0.29,2.3352039535741276
abajo,0.289,2.31426699557086
abajo,0.288,2.2926082366670872
abajo,0.287,2.2701954611004624
abajo,0.286,2.246897223014286
abajo,0.285,2.2226258163169903
abajo,0.284,2.1971116838307867
abajo,0.283,2.1706180575393383
abajo,0.282,2.1425224984263265
abajo,0.281,2.1125934033942424
abajo,0.28,2.080822298700993
abajo,0.279,2.046391912486257
abajo,0.278,2.0087158640685048
abajo,0.277,1.9666904590096064
abajo,0.276,1.9185041630278945
abajo,0.275,1.860352362296038
abajo,0.274,1.7818967625049122
abajo,0.273,0.0
abajo,0.272,0.0
abajo,0.271,1.1102230246251565e-16
abajo,0.27,0.0
abajo,0.269,0.0
abajo,0.268,0.0
abajo,0.267,0.0
abajo,0.266,1.1102230246251565e-16
abajo,0.265,0.0
abajo,0.264,0.0
abajo,0.263,0.0
abajo,0.262,0.0
abajo,0.261,1.1102230246251565e-16
abajo,0.26,0.0
abajo,0.259,1.1102230246251565e-16
abajo,0.258,0.0
abajo,0.257,0.0
abajo,0.256,0.0
abajo,0.255,0.0
abajo,0.254,0.0
abajo,0.253,0.0
abajo,0.252,0.0
abajo,0.251,0.0
abajo,0.25,0.0
abajo,0.249,0.0
abajo,0.248,0.0
abajo,0.247,0.0
abajo,0.246,0.0
abajo,0.245,0.0
abajo,0.244,0.0
abajo,0.243,1.1102230246251565e-16
abajo,0.242,0.0
abajo,0.241,0.0
abajo,0.24,0.0
arriba,0.24,0.0
arriba,0.241,0.0
arriba,0.242,0.0
arriba,0.243,0.0
arriba,0.244,1.1102230246251565e-16
arriba,0.245,0.0
arriba,0.246,0.0
arriba,0.247,0.0
arriba,0.248,0.0
arriba,0.249,0.0
arriba,0.25,0.0
arriba,0.251,0.0
arriba,0.252,0.0
arriba,0.253,0.0
arriba,0.254,0.0
arriba,0.255,0.0
arriba,0.256,0.0
arriba,0.257,0.0
arriba,0.258,0.0
arriba,0.259,0.0
arriba,0.26,0.0
arriba,0.261,0.0
arriba,0.262,0.0
arriba,0.263,0.0
arriba,0.264,0.0
arriba,0.265,0.0
arriba,0.266,0.0
arriba,0.267,0.0
arriba,0.268,0.0
arriba,0.269,0.0
arriba,0.27,0.0
arriba,0.271,0.0
arriba,0.272,0.0
arriba,0.273,0.0
arriba,0.274,0.0
arriba,0.275,0.0
arriba,0.276,5.301102556920512e-09
arriba,0.277,5.942699887739877e-09
arriba,0.278,6.640113459077668e-09
arriba,0.279,7.48674555683948e-09
arriba,0.28,8.401887852116374e-09
arriba,0.281,9.429715341902067e-09
arriba,0.282,9.610774731605431e-09
arriba,0.283,2.2532539611930247e-08
arriba,0.284,2.459359338402578e-08
arriba,0.285,2.38326149926138e-08
arriba,0.286,2.881145144684183e-08
arriba,0.287,4.5600031639558836e-08
arriba,0.288,7.33994049983977e-08
arriba,0.289,5.064042392088908e-07
arriba,0.29,0.00010311139706487005
arriba,0.291,0.048831007743137644
arriba,0.292,2.3751985897714976
arriba,0.293,2.3943028130485193
arriba,0.294,2.4129789354152886
arriba,0.295,2.43119171981586
arriba,0.296,2.448941974118291
arriba,0.297,2.466283142516401
arriba,0.298,2.483240048114351
arriba,0.299,2.4998340433831157
arriba,0.3,2.5160990895848316
arriba,0.301,2.5320444263870394
arriba,0.302,2.5476817499845947
arriba,0.303,2.563033921910887
arriba,0.304,2.577947689733035
arriba,0.305,2.5929296825450834
arriba,0.306,2.6074447425221026
arriba,0.307,2.621830853282322
arriba,0.308,2.635935786294624
arriba,0.309,2.6498231501715943
arriba,0.31,2.663488589923807
