kappa,period_difference,xmin_difference,xmax_difference,ymin_difference,ymax_difference,zmin_difference,zmax_difference
4.472941099458641045e-01,3.996802888650563546e-15,4.407585407761871465e-14,8.881784197001252323e-16,5.190292640122606826e-14,1.492139745096210390e-13,1.532107773982716026e-14,1.310063169057684718e-14
7.459857515828566266e-01,4.707345624410663731e-13,9.811595980124820926e-14,1.785682712807101780e-12,1.036115637731427341e-13,3.108624468950438313e-12,1.765254609153998899e-13,9.769962616701377556e-14
1.044677393219849204e+00,4.662936703425657470e-14,1.115774139748282323e-14,3.854694341498543508e-13,4.862082958467794924e-14,1.874056465567264240e-13,3.086420008457935182e-14,6.350475700855895411e-14
1.343369034856841671e+00,3.996802888650563546e-15,8.118505867571457202e-16,8.348877145181177184e-14,4.382605389707805443e-14,6.572520305780926719e-14,5.884182030513329664e-15,3.130828929442941444e-14
1.642060676493834137e+00,1.776356839400250465e-15,1.457167719820517959e-15,3.392841563254478388e-13,5.787037515858628467e-15,1.953992523340275511e-14,1.065814103640150279e-14,4.818367926873179385e-14
1.940752318130826604e+00,2.251976383149667527e-12,2.599864767915960329e-13,2.552358324692249880e-11,3.559791350582486302e-13,2.629896300732070813e-11,6.848410727400278120e-13,1.853406317309236329e-12
2.239443959767819514e+00,7.993605777301127091e-15,2.439021207223390775e-15,2.291500322826323099e-13,3.035072193569021692e-14,1.687538997430237941e-14,5.234701561107613088e-14,1.043609643147647148e-14
2.538135601404811759e+00,1.310063169057684718e-14,1.228184220991579423e-15,1.190159082398167811e-13,2.764455331316639786e-14,1.287858708565181587e-13,7.605027718682322302e-15,2.198241588757809950e-14
2.836827243041804447e+00,1.332267629550187849e-15,8.673617379884035472e-17,8.881784197001252323e-14,1.422473250300981817e-14,2.513544927751354408e-13,8.903988657493755454e-14,4.107825191113079200e-14
3.135518884678797136e+00,9.769962616701377556e-15,3.927413949611491262e-15,2.726707748479384463e-13,1.526556658859590243e-14,4.227729277772596106e-13,7.088774012231624511e-14,3.153033389935444575e-14
3.434210526315789380e+00,2.087219286295294296e-14,9.041378756791118576e-15,2.531308496145356912e-13,2.478572902475661976e-14,3.694822225952520967e-13,3.952393967665557284e-14,3.330669073875469621e-15
3.732902167952782069e+00,9.325873406851314940e-15,2.761679773755076894e-15,7.460698725481051952e-14,4.293787547737792920e-14,3.463895836830488406e-13,5.068168107413839607e-14,6.661338147750939243e-14
4.031593809589774757e+00,5.551115123125782702e-15,5.613565168260947758e-15,5.861977570020826533e-14,2.198241588757809950e-14,1.598721155460225418e-13,1.570965579844596505e-14,5.906386491005832795e-14
4.330285451226767002e+00,1.931788062847772380e-14,7.632783294297951215e-15,1.398881011027697241e-13,1.623701173514291440e-14,4.019007349143066676e-13,2.059463710679665382e-14,6.772360450213454897e-14
4.628977092863759246e+00,6.883382752675970551e-15,4.704570066849100840e-15,3.952393967665557284e-14,4.635181127810028556e-15,5.417888360170763917e-14,4.607425552194399643e-15,6.639133687258436112e-14
4.927668734500752379e+00,9.525713551283843117e-14,7.646661082105765672e-14,9.703349235223868163e-13,1.150191053511662176e-13,6.701306176637444878e-13,1.381672554146007315e-13,1.738609256562995142e-13
5.226360376137744623e+00,1.332267629550187849e-15,1.748601263784621551e-15,5.488942633746773936e-13,7.105427357601001859e-15,3.552713678800500929e-14,1.998401444325281773e-15,7.371880883511039428e-14
5.525052017774736868e+00,2.997602166487922659e-14,4.610201109755962534e-14,1.072475441787901218e-12,5.373479439185757656e-14,2.540190280342358164e-13,6.195044477408373496e-14,2.275957200481570908e-13
5.823743659411730000e+00,0.000000000000000000e+00,5.551115123125782702e-16,1.296740492762182839e-13,8.326672684688674053e-16,1.003641614261141513e-13,1.132427485117659671e-14,5.329070518200751394e-15
6.122435301048722245e+00,1.776356839400250465e-15,1.970645868709652859e-14,4.840572387365682516e-14,1.432187701766451937e-14,3.641531520770513453e-14,9.658940314238861902e-15,4.996003610813204432e-14
6.421126942685714489e+00,6.217248937900876626e-15,4.329869796038110508e-13,5.708766792622554931e-13,3.239630785856206785e-13,4.347633364432113012e-13,2.284838984678572160e-13,2.569056078982612235e-13
