step,kappa,period,x0,y0,z0,xmin,xmax,ymin,ymax,zmin,zmax,residual,logmu1_re,logmu1_im,logmu2_re,logmu2_im,logmu3_re,logmu3_im
0,0.4092943583924221,2.4551231725343596,0.9494753205697,0.8281036229297163,0.994652176194803,0.8840298279366032,1.1285777753993105,0.8278772184062816,1.198067818721622,0.9756429447222043,1.0238411661675701,1.813185018795238e-13,1.4419132554517727e-11,0.0,-0.009126185043964815,0.0,-5.910106357588996,0.0
1,0.4098222469355668,2.455030292644115,0.9428288096214456,0.8085693696432114,0.9940039117001709,0.8704574876814217,1.1454710953124012,0.808255564262548,1.2245147479270249,0.972573925006031,1.0267753783139004,9.593020822151743e-16,-1.6653345369377487e-14,0.0,-0.011525362202126617,0.0,-5.90986103915094,0.0
2,0.41063102955158576,2.4548872256638186,0.9337604559371829,0.7828829634860563,0.9931331295954555,0.8524548939082274,1.1685567410443027,0.7824229794577627,1.2607868655918018,0.9684233112092209,1.0307205974639921,2.147587663259287e-15,-1.6320278461991131e-13,0.0,-0.015193619844086886,0.0,-5.909486523299896,0.0
3,0.41189758807318955,2.454661334461714,0.9213508250978627,0.7494164855124424,0.9919621760983047,0.8287084620761861,1.200250864745467,0.7487051760869344,1.3108099039971692,0.9628025465094494,1.0360223877868866,1.7073148450563735e-14,-1.9994006450494433e-12,0.0,-0.020919820618581865,0.0,-5.908903319654937,0.0
4,0.41392481911720624,2.454295132993726,0.9043085560034068,0.7063686822473937,0.9903836975187681,0.797617686246068,1.2440309914656096,0.7052152617177584,1.380288684714827,0.955176437661961,1.0431448045129657,1.8252760414227964e-13,-2.2317481196659005e-11,0.0,-0.030038659999227346,0.0,-5.907978352830129,0.0
5,0.41723770893449436,2.453684589920011,0.8808281892430797,0.6519891391167036,0.9882426310072759,0.7573181550820401,1.3049836494687321,0.650050629887759,1.4776376975589527,0.9448027359508734,1.0527130582670747,2.03205161031228e-12,-2.4086077579768787e-10,0.0,-0.04481809603355961,0.0,-5.906489870413996,0.0
6,0.4227553901556442,2.4526353023954908,0.8484090067155083,0.5850356283993684,0.9853015667963299,0.7057825651687423,1.3906876614143584,0.5817132098014183,1.6154512092058393,0.9306423643927616,1.0655802050724714,2.2903859364653556e-11,-2.611162178779025e-9,0.0,-0.06909820759480763,0.0,-5.904076844281145,0.0
7,0.4304161598125689,2.45111403278978,0.8110837127717239,0.5178001097154792,0.9818626359967302,0.6513242285633505,1.4921096296593974,0.5125371060639232,1.779488815770205,0.9144400647785741,1.0800842317134522,8.560236547383582e-11,-9.287508472118972e-9,0.0,-0.10212093771311302,0.0,-5.900870609535074,0.0
8,0.4395968693356846,2.449197613176312,0.7732345001907621,0.45860777566806404,0.9782391518303752,0.600468553612415,1.5985150453863506,0.4511113122671587,1.952194473657697,0.8979900907423699,1.0946432753816218,9.36698160984746e-16,3.774758283725524e-15,0.0,-0.14065708871255014,0.0,-5.897261876504525,0.0
9,0.4502917943321748,2.446845264259082,0.7351471246637368,0.40670892318358803,0.974381350019742,0.5529657128458781,1.7097304958073523,0.3968113583434404,2.13289748200427,0.8813039148501575,1.1093163960716708,1.4155343563970746e-15,-5.218048215738249e-15,0.0,-0.18414808733421228,0.0,-5.893397735371438,0.0
10,0.4625047216917523,2.444013223557562,0.6970566098442588,0.36133245656367846,0.9702434799843345,0.508560683989244,1.8255738360836427,0.3489844637991834,2.3209339518509626,0.8643890595420832,1.1241709145447636,1.8318679906315083e-15,-6.328271240363413e-15,0.0,-0.232010594369267,0.0,-5.889455233340276,0.0
11,0.47624825895060025,2.4406561610536284,0.6591640420181757,0.321741131312587,0.9657846124163918,0.46701917766840906,1.9458444483446058,0.3069937312185357,2.5155941449067383,0.8472531023844105,1.139275796594185,2.095545958979983e-15,-5.218048215738249e-15,0.0,-0.2836388428024889,0.0,-5.885643002376742,0.0
12,0.49154492460965393,2.4367279477515837,0.6216429038093052,0.28725077386183323,0.9609681448818009,0.42813280244950336,2.0702963988896173,0.27023257155412045,2.7161395053993953,0.8299038025578367,1.1547009880615688,1.3877787807814457e-15,7.327471962526005e-15,0.0,-0.33841378870256683,0.0,-5.88220110269074,0.0
13,0.5084277178485394,2.432182283325133,0.5846461190694364,0.2572400961039816,0.9557612548580702,0.3917209351557792,2.19865590336394,0.23813345229005933,2.9217856294930318,0.8123498763718312,1.1705159964875034,1.8735013540549517e-15,-6.883382752675994e-15,0.0,-0.39570946397874246,0.0,-5.879399923960205,0.0
