step,kappa,period,x0,y0,z0,xmin,xmax,ymin,ymax,zmin,zmax,residual,logmu1_re,logmu1_im,logmu2_re,logmu2_im,logmu3_re,logmu3_im
0,6.459127413785393,1.1560321851748911,1.0522057454370515,1.0110016839698226,0.9935130152733157,0.9493522832829944,1.0522066906784366,0.962013574499811,1.0392295075683622,0.9750953082548953,1.0252141237532144,2.852934902208837e-13,-1.1581058335212754e-10,0.0,-0.0005256889469163002,0.0,-9.778586873253312,0.0
1,6.457230227291972,1.1562483555946,1.0733105537782284,1.0152139793072188,0.9908226105555586,0.9297249921903236,1.0733131407649374,0.9473036512190822,1.055119338938155,0.9653200078999394,1.0352829486544963,1.0492908625314712e-15,8.637535131583344e-14,0.0,-0.0010245577359385652,0.0,-9.777807510417507,0.0
2,6.453728805068062,1.1566475001956502,1.1018050957945678,1.0206929133534821,0.9871308864185258,0.9039558836321264,1.1018121373598129,0.927994125525688,1.076607866169065,0.9523755520334264,1.0487689666814972,9.874913386997974e-16,-3.483879851274348e-13,0.0,-0.001945483303037389,0.0,-9.776368442882513,0.0
3,6.447410548310865,1.1573683521136469,1.1400426323178774,1.0276785958270167,0.9820738523409844,0.8706326392513198,1.1400613383634604,0.9030209762199287,1.1055168763486067,0.9354434532993158,1.0666777039863944,1.173844008106606e-14,-4.327982416905613e-12,0.0,-0.003607999878330163,0.0,-9.773769417563841,0.0
4,6.436311875451504,1.1586364825063522,1.190848372626891,1.0363307756432294,0.9751809117123018,0.8284503750896475,1.1908961109555933,0.8713841982263559,1.144080098488822,0.9136805538398043,1.090154441471074,1.9477908869136584e-13,-4.918609963887548e-11,0.0,-0.006530629832497926,0.0,-9.769196933377764,0.0
5,6.417477135551352,1.1607940283112035,1.2573052831072187,1.046605144397254,0.9658838149383756,0.7766048041547076,1.257424315726265,0.8324214378465431,1.1948345505167142,0.8863907970285583,1.120347380940312,2.8261238835258773e-12,-5.215043953593434e-10,0.0,-0.011496951440555698,0.0,-9.761416767597588,0.0
6,6.386817977198351,1.164320931670042,1.3424790618707778,1.058121295182876,0.9535386663645118,0.7151619213942639,1.342764658589271,0.7860505887680689,1.260500483471725,0.8531996651779626,1.1582497136468217,2.9605188960057927e-11,-4.629561522642703e-9,0.0,-0.01959866956442993,0.0,-9.748696738537792,0.0
7,6.347333539359485,1.1688903410426794,1.432289572567231,1.0683479521173196,0.9400438095368759,0.6558229252423314,1.432875317361915,0.7409552369967641,1.330630953465467,0.8201656714826351,1.1973246348051378,7.379925316686187e-11,-1.1147755558624058e-8,0.0,-0.030064351341059743,0.0,-9.732213408952106,0.0
8,6.304426803064105,1.1738909060192704,1.5162429017438583,1.0762055364853955,0.9270245191826046,0.6048731656131402,1.5172567947393227,0.701884125626197,1.3971474713596952,0.7909324260718702,1.2330876316391677,5.026482181869074e-11,-7.827064138588439e-9,0.0,-0.041477569753633654,0.0,-9.71417053379361,0.0
9,6.259181063719063,1.1792040368259948,1.5953128188012171,1.0821562585783902,0.9144341101788152,0.5604847850745416,1.5968930322016632,0.6674929045788649,1.4607545544567506,0.7647240127236692,1.2661414759125458,2.3989423295067702e-11,-3.9118984794715275e-9,0.0,-0.05355821733865385,0.0,-9.694995291025762,0.0
10,6.2122460796524575,1.1847593049176544,1.670335513948866,1.0865397495574405,0.9022150204016768,0.521308074363959,1.6726254181657743,0.6367948257516063,1.5220623493853758,0.7409501799989106,1.296972149014222,1.1406920547019084e-11,-1.9469947895114578e-9,0.0,-0.06613855762312663,0.0,-9.674941438014761,0.0
11,6.164046966434518,1.1905110542882495,1.7419524667888917,1.0896039740915267,0.8903188406021597,0.48636355762862304,1.7451016415976195,0.6090789594030004,1.5815377070918293,0.7191758778149582,1.325944159262157,5.628067456520114e-12,-1.003241046297103e-9,0.0,-0.07910882052489732,0.0,-9.654173573805922,0.0
