run,index,kappa,closure,neutral_error,transverse_modulus,BK_IVP_mu_difference
lower-n40,0,0.4092943583924221,1.7114087924596788e-12,1.7114087924596788e-11,0.99091533218952,2.694955369975105e-12
lower-n40,1,0.4098222469355668,2.0650148258027912e-14,1.1146639167236572e-13,0.9885408003581898,1.9628743075372768e-13
lower-n40,2,0.41063102955158576,4.241051954068098e-14,8.326672684688674e-14,0.984921220846798,1.7430501486614958e-13
lower-n40,3,0.41189758807318955,2.4513724383723456e-13,2.0091706076641458e-12,0.9792974808876521,3.1241675912951905e-13
lower-n40,4,0.41392481911720624,2.7039481764745688e-12,2.2019275291995655e-11,0.9704080168479684,2.1650459203215178e-12
lower-n40,5,0.41723770893449436,3.1479929774036464e-11,2.2611579275633176e-10,0.9561713973582384,2.6198709868197056e-11
lower-n40,6,0.4227553901556442,3.6506742073783016e-10,2.291884348970541e-09,0.9332350244762841,3.341928955791218e-10
lower-n40,7,0.4304161598125689,1.3370311524596445e-09,7.532841128643497e-09,0.902920346587685,1.7546673003465685e-09
lower-n40,8,0.4395968693356846,5.023759186428833e-13,2.8312907573990742e-12,0.8687871775503689,3.172906382076235e-12
lower-n40,9,0.4502917943321748,9.366951658762446e-13,4.434341782655338e-12,0.8318126137866303,6.2839733416808485e-12
lower-n40,10,0.4625047216917523,1.5860646129794986e-12,6.396660978680302e-12,0.792937722576039,1.1105782959930366e-11
lower-n40,11,0.47624825895060025,2.484790151413563e-12,8.467893053420994e-12,0.75303856087933,1.7937318297356342e-11
lower-n40,12,0.49154492460965393,3.641142942711895e-12,1.0240808201444906e-11,0.7129002367673418,2.6700974764537477e-11
lower-n40,13,0.5084277178485394,5.017597448642164e-12,1.1182499370931964e-11,0.6732022569958972,3.660216574274955e-11
lower-n40,14,0.526940197228851,6.537992369715084e-12,1.0578204978628492e-11,0.634513153444347,4.5899395395565534e-11
lower-n40,15,0.5471360815910288,9.137579581874888e-12,7.680633906659295e-12,0.5972921322043693,5.1656456889759284e-11
lower-n40,16,0.5690783465729515,1.3999412740162143e-11,1.7956747200287282e-12,0.5618956178883964,4.9521386991102645e-11
lower-n40,17,0.5928377442744763,1.9709012200053166e-11,7.376099731004615e-12,0.528586863269939,3.3536617927154566e-11
lower-n40,18,0.6184906308378016,2.5699831152081742e-11,1.9661383632296747e-11,0.4975471449619034,1.9308554755070872e-11
lower-n40,19,0.6461159576704069,3.1057156846259204e-11,3.3821168088365994e-11,0.4688874071486416,7.046935257548625e-11
lower-n40,20,0.6757912809503643,1.2778422764370134e-10,2.377805730091609e-10,0.4426595213594026,1.8586976402445998e-09
lower-n40,21,0.7075876938097891,1.421157636016801e-10,2.8913316185708027e-11,0.4188665956177412,1.4460842523433826e-09
lower-n40,22,0.7415636979875397,1.4599227382561253e-10,1.2343082111954118e-10,0.3974719998195883,1.0421385976400188e-09
lower-n40,23,0.7777582534360389,1.3798928666375332e-10,2.1394397364815632e-10,0.3784069783775597,7.101557675248671e-10
lower-n40,24,0.8161835311285496,1.168585783695164e-10,2.355804440412612e-10,0.3615769126748409,1.1036749292259174e-09
lower-n40,25,0.8568182430525738,8.215247926379732e-11,1.8151036229596684e-10,0.34686645874472366,1.5606861358818946e-09
lower-n40,26,0.8996026979782796,3.5001723741601154e-11,4.871836267739127e-11,0.3341439101471265,2.0906459896608e-09
lower-n40,27,0.944436789995714,3.18971515866906e-11,1.574885777344548e-10,0.32326518728286596,2.6999645852399112e-09
lower-n40,28,0.9911818256446259,8.112110982949616e-11,4.206901493830628e-10,0.3140778039269496,3.3884018368901536e-09
lower-n40,29,1.0396664127414548,1.378304970156563e-10,7.127820556007691e-10,0.30642500453469185,4.846053558438257e-09
lower-n40,30,1.0896957398867868,1.8498566567437535e-10,9.98969573728914e-10,0.3001500418599191,6.898111193365253e-09
lower-n40,31,1.1410627943873106,2.1816781714534272e-10,1.2452532338613764e-09,0.29510035371579196,9.2481824420787e-09
lower-n40,32,1.1935597102551707,2.3574991958597025e-10,1.426444518060066e-09,0.29113128367754987,1.1757435247616854e-08
lower-n40,33,1.2469876225126861,2.3866879306222444e-10,1.5296455213587024e-09,0.2881090126712785,1.4256400948653436e-08
lower-n40,34,1.3011639914923385,2.294469475527805e-10,1.5532602981593868e-09,0.28591250164871473,1.657461823345585e-08
lower-n40,35,1.3559270701076565,2.111237851210035e-10,1.5031627054185037e-09,0.2844344215934847,1.8564990655889346e-08
lower-n40,36,1.4111377655238702,1.8651243050005206e-10,1.3894847494810847e-09,0.2835811972746319,2.011989641559353e-08
